phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
MS_745.3	151	2404	0.000046671717349239784	4.330946218365408	0.17	0.6901820811253073	0.358	1.022	1.994078584262284	0.29974226934122344	True	Both	Fracture of upper limb	Muscloskeletal
GI_502.14	81	2464	0.08539318141919972	1.0685768060117034	0.229	0.39448330925737507	-0.055	0.844	1.4836174214593663	0.17132192441341193	True	Both	Deposits [accretions] on teeth	Gastrointestinal
GI_520.2	140	2292	0.18186674803943026	0.7402466987545191	0.179	0.2394011381347333	-0.112	0.591	1.270488075596085	0.10397059325327282	True	Both	Diaphragmatic hernia	Gastrointestinal
SS_840.61	161	2350	0.0018350788417407112	2.7363452721217696	0.164	0.5120500507382335	0.19	0.834	1.6687086281483159	0.22238051149389493	True	Both	Allergy to other anti-infective agents	Symptoms
MS_718.5	289	2180	3.203202377197445e-8	7.494415621897033	0.128	0.7103997225350496	0.459	0.962	2.034804453304213	0.3085226794425732	True	Both	Sciatica	Muscloskeletal
ID_054.31	220	2322	2.8287207193101754e-6	5.548409928488503	0.142	0.6665146781607895	0.388	0.945	1.947438030363611	0.28946364683275266	True	Both	Chronic hepatitis C	Infections
EM_208.2	60	2513	0.1196013085627293	0.922264068688213	0.265	0.41172995641725335	-0.107	0.93	1.5094267702744826	0.17881204810627946	True	Both	Hyperparathyroidism	Endocrine/Metab
MS_703.1	84	2466	0.8806504551649349	0.05519643610112572	0.238	0.03580948193579088	-0.432	0.503	1.036458363638422	0.01555186040452815	True	Both	Gout	Muscloskeletal
MS_742	99	2436	0.00019177401207250247	3.7172102458525464	0.209	0.7790320236746007	0.37	1.188	2.1793616736569494	0.33832930910780257	True	Both	Cartilage tear of knee	Muscloskeletal
CV_440.1	204	2271	0.0008639414667004082	3.0635156806115527	0.148	0.4932465810740541	0.203	0.783	1.6376242787612152	0.2142142683781066	True	Both	Venous thromboembolism	Cardiovascular
EM_204.1	122	2419	0.027468991059920983	1.5611572919866439	0.191	0.42221369079202037	0.047	0.798	1.5253344397840447	0.18336507609498026	True	Both	Impaired fasting glucose	Endocrine/Metab
GI_516	168	2279	0.11631010887698943	0.9343825377332463	0.163	0.2558996296631095	-0.063	0.575	1.2916230807896942	0.11113579708377412	True	Both	Other diseases of stomach and duodenum	Gastrointestinal
EM_230.2	168	2297	0.0002383978468624969	3.6226976713309584	0.162	0.5947851480238207	0.278	0.912	1.8126414535217585	0.25831190770475415	True	Both	Abnormal weight loss and underweight	Endocrine/Metab
CV_416.5	74	2440	0.09252662721549737	1.0337332684647096	0.243	0.40905226589893334	-0.068	0.886	1.50539039901189	0.17764914188992847	True	Both	Premature depolarization [Premature beats]	Cardiovascular
NS_348	78	2458	0.00030513164309857005	3.51551275233626	0.236	0.8512857118636598	0.389	1.313	2.342656898251774	0.369708687185469	True	Both	Other diseases of spinal cord	Neurological
EM_204.3	107	2398	0.9196082866666301	0.036397123921488465	0.205	0.020686619317826796	-0.381	0.422	1.0209020705149061	0.008984084618965386	True	Both	Hypoglycemia	Endocrine/Metab
DE_672.21	97	2437	0.042800516869594976	1.368550986307913	0.231	0.4671920990176496	0.015	0.919	1.595507869474522	0.2028989505921628	True	Both	Actinic keratosis	Dermatological
MS_709.24	75	2485	0.0034196478857701075	2.4660186100666044	0.241	0.7050496660070363	0.233	1.177	2.0239472038022064	0.3061991794145866	True	Both	Hammer toe	Muscloskeletal
SO_389	81	2356	0.04050514601733659	1.3924897978974227	0.228	0.46666081961428335	0.02	0.913	1.5946604341379644	0.20266821887893205	True	Both	Other disorders of eye	Sense organs
SO_371.3	167	2366	0.09898804247014595	1.0044172640173676	0.187	0.3077371780470617	-0.058	0.673	1.360343413837224	0.13364855830231742	True	Both	Nuclear cataract	Sense organs
MS_745.4	144	2359	0.01752504105468906	1.756340955968777	0.174	0.4127927877740175	0.072	0.753	1.5110318892109416	0.1792736298997159	True	Both	Fracture of foot and toe	Muscloskeletal
MB_299	333	2031	4.1750028995535357e-19	18.3793432185613	0.121	1.079716929261753	0.843	1.317	2.9438461164171486	0.468915104395903	True	Both	Mental disorder, not otherwise specified	Mental
ID_056	222	2247	1.018701994437183e-12	11.991952843569523	0.145	1.0308958035732145	0.747	1.314	2.8035761636955834	0.4477123589090657	True	Both	Human papillomavirus	Infections
BI_164.1	310	2140	0.000025867867371802456	4.587239374408159	0.125	0.5239738048246794	0.28	0.768	1.6887249974516914	0.2275589320972097	True	Both	Microcytic anemia	Blood/Immune
GI_502.11	279	2173	0.00002780244831565583	4.555916957925066	0.129	0.5386715395919977	0.287	0.791	1.713728728548794	0.23394207720313356	True	Both	Dental caries	Gastrointestinal
MB_280.3	529	1821	1.6300558409685524e-8	7.787797517676343	0.103	0.5817812964014223	0.38	0.784	1.7892227298278283	0.25266440670165785	True	Both	Cannabis use disorders	Mental
SS_848	74	2417	0.3957851680586659	0.4025404848920561	0.243	0.20666175520482166	-0.27	0.684	1.2295666069306264	0.08975205990589465	True	Both	Nonspecific abnormal findings of other body structures	Symptoms
